case	protein	ligands	contig	length	T	extra	L	n_prot	n_lig	lines	same	identical	max_d	max_d_prot	max_d_lig	conect	t_ref	t_rs	speedup	sha_ref	sha_rs
p08_L71	M0584_1ldm	NAD,OXM	10,A106-106,10	-	2	-	161	111	50	267	267	YES	0.0000	0.0000	0.0000	106/106	139.3	92.9	1.50	ec256c4636cc	ec256c4636cc
p01_L30	M0636_1uaq	ZN,DUC	10,A64-64,10	-	2	-	118	109	9	134	105	no	3.2620	0.1920	3.2620	0/16	37.1	17.3	2.15	079ce5fb00a5	195ccebeeafd
p02_L31	M0710_1ra0	FE,FPY	10,A156-156,10	-	2	-	119	109	10	137	137	YES	0.0000	0.0000	0.0000	18/18	36.5	18.4	1.99	7bce1a5ff12f	7bce1a5ff12f
p03_L32	M0054_1qfe	DHS	10,A86-86,10	-	2	-	120	109	11	142	142	YES	0.0000	0.0000	0.0000	22/22	39.7	30.9	1.28	c51b5109e78d	c51b5109e78d
p04_L38	M0097_1ctt	ZN,DHZ	10,A102-102,10	-	2	-	127	110	17	161	161	YES	0.0000	0.0000	0.0000	34/34	49.8	26.5	1.88	627a9698ae61	627a9698ae61
p05_L45	M0375_4ts9	FMC,PO4	10,A20-20,10	-	2	-	128	104	24	178	178	YES	0.0000	0.0000	0.0000	50/50	63.4	36.7	1.73	4c8f87233459	4c8f87233459
p06_L49	M0179_1q3s	MG,ADP	10,A64-64,10	-	2	-	136	108	28	194	194	YES	0.0000	0.0000	0.0000	58/58	70.3	39.0	1.80	409be81c211b	409be81c211b
p09_L82	M0315_1ey3	DAK	10,A98-98,10	-	2	-	166	105	61	294	290	no	0.0010	0.0010	0.0000	128/128	174.1	112.7	1.54	d9d00ba6ffec	576bd77c394c
p10_L117	M0093_1dqa	NAP,COA	10,A691-691,10	-	2	-	205	109	96	409	409	YES	0.0000	0.0000	0.0000	204/204	336.7	237.1	1.42	67a7fc26bccb	67a7fc26bccb
len05_L61	M0584_1ldm	NAD,OXM	5,A106-106,5	-	2	-	111	61	50	217	217	YES	0.0000	0.0000	0.0000	106/106	99.9	60.1	1.66	130ae76c9bae	130ae76c9bae
len25_L101	M0584_1ldm	NAD,OXM	25,A106-106,25	-	2	-	311	261	50	417	403	no	0.0420	0.0420	0.0000	106/106	257.4	178.6	1.44	d8dc09a9847d	0e0c2eb66ef2
len40_L131	M0584_1ldm	NAD,OXM	40,A106-106,40	-	2	-	461	411	50	567	558	no	0.0330	0.0330	0.0000	106/106	448.1	303.5	1.48	cb7e53d38cee	bf0990651d9e
len05_s	M0179_1q3s	MG,ADP	5,A64-64,5	-	2	-	86	58	28	144	144	YES	0.0000	0.0000	0.0000	58/58	48.8	25.0	1.95	b47440c475d1	b47440c475d1
len25_s	M0179_1q3s	MG,ADP	25,A64-64,25	-	2	-	286	258	28	344	344	YES	0.0000	0.0000	0.0000	58/58	160.0	103.6	1.55	08edf91c2bfe	08edf91c2bfe
cfg_T10	M0584_1ldm	NAD,OXM	10,A106-106,10	-	10	-	161	111	50	267	267	YES	0.0000	0.0000	0.0000	106/106	612.1	417.0	1.47	7634d583e6b5	7634d583e6b5
cfg_T10s	M0179_1q3s	MG,ADP	10,A64-64,10	-	10	-	136	108	28	194	190	no	0.0010	0.0010	0.0000	58/58	298.3	192.4	1.55	f0ea87988282	4c63c081250f
cfg_selfcond	M0584_1ldm	NAD,OXM	10,A106-106,10	-	2	selfcond	161	111	50	267	267	YES	0.0000	0.0000	0.0000	106/106	131.5	83.3	1.58	7dc52075a8aa	7dc52075a8aa
cfg_selfcond_s	M0179_1q3s	MG,ADP	10,A64-64,10	-	2	selfcond	136	108	28	194	194	YES	0.0000	0.0000	0.0000	58/58	68.8	39.1	1.76	bef6b8cb1f88	bef6b8cb1f88
cfg_varlen	M0584_1ldm	NAD,OXM	5-15,A106-106,5-15	25-25	2	-	181	131	50	287	287	YES	0.0000	0.0000	0.0000	106/106	144.5	93.3	1.55	d8d96ef4ce5d	d8d96ef4ce5d
cfg_varlen_s	M0179_1q3s	MG,ADP	5-15,A64-64,5-15	25-25	2	-	156	128	28	214	214	YES	0.0000	0.0000	0.0000	58/58	80.4	103.9	0.77	2dfecbc64b88	2dfecbc64b88
p07_L69	M0365_1pfk	FBP,MG,ADP	10,A11-11,10	-	2	-	152	104	48	250	250	YES	0.0000	0.0000	0.0000	98/98	10.9	78.9	0.14	131fc867c682	131fc867c682
nd_ldm#d0	M0584_1ldm	NAD,OXM	10,A106-106,10	-	2	ndes2	161	111	50	267	267	YES	0.0000	0.0000	0.0000	106/106	248.2	165.3	1.50	ec256c4636cc	ec256c4636cc
nd_ldm#d1	M0584_1ldm	NAD,OXM	10,A106-106,10	-	2	ndes2	161	111	50	267	267	YES	0.0000	0.0000	0.0000	106/106	248.2	165.3	1.50	1282ff62825f	1282ff62825f
nd_q3s#d0	M0179_1q3s	MG,ADP	10,A64-64,10	-	2	ndes2	136	108	28	194	194	YES	0.0000	0.0000	0.0000	58/58	126.5	76.9	1.64	409be81c211b	409be81c211b
nd_q3s#d1	M0179_1q3s	MG,ADP	10,A64-64,10	-	2	ndes2	136	108	28	194	194	YES	0.0000	0.0000	0.0000	58/58	126.5	76.9	1.64	389982755b13	389982755b13
du_mm2	M0584_1ldm	NAD,OXM	10,A106-106,10,A166-166,10	-	2	-	219	169	50	325	325	YES	0.0000	0.0000	0.0000	106/106	171.8	112.5	1.53	3ace1b59c160	3ace1b59c160
du_mm4_prod	M0584_1ldm	NAD,OXM	46,A106-106,59,A166-166,2,A169-169,23,A193-193,46	-	2	-	970	920	50	1076	1019	no	0.1180	0.1180	0.0000	106/106	1561.9	1104.8	1.41	108e2c2a8552	3a371adf8420
du_T100_small	M0710_1ra0	FE,FPY	10,A156-156,10	-	100	-	119	109	10	137	137	YES	0.0000	0.0000	0.0000	18/18	1230.6	776.5	1.58	0d8976e28930	0d8976e28930
du_T100_mid	M0179_1q3s	MG,ADP	10,A64-64,10	-	100	-	136	108	28	194	191	no	0.0020	0.0020	0.0000	58/58	2870.4	1914.1	1.50	cec011062516	cbf5c661b2e1
