group	stage	mode	values	exact	pct_bitexact	max_abs	max_ulp
input	indep_cond.seq	cumulative	71	71	100.000000	0.000000e0	0
input	indep_cond.idx	cumulative	71	71	100.000000	0.000000e0	0
input	indep_cond.bond_feats	cumulative	5041	5041	100.000000	0.000000e0	0
input	indep_cond.same_chain	cumulative	5041	5041	100.000000	0.000000e0	0
input	indep_cond.chirals	cumulative	240	240	100.000000	0.000000e0	0
input	indep_cond.xyz	cumulative	7668	7668	100.000000	0.000000e0	0
input	indep_uncond.seq	cumulative	71	71	100.000000	0.000000e0	0
input	indep_uncond.idx	cumulative	71	71	100.000000	0.000000e0	0
input	indep_uncond.bond_feats	cumulative	5041	5041	100.000000	0.000000e0	0
input	indep_uncond.same_chain	cumulative	5041	5041	100.000000	0.000000e0	0
input	indep_uncond.chirals	cumulative	240	240	100.000000	0.000000e0	0
input	indep_uncond.xyz	cumulative	7668	7668	100.000000	0.000000e0	0
input	indep_orig.seq	cumulative	71	71	100.000000	0.000000e0	0
input	indep_orig.idx	cumulative	71	71	100.000000	0.000000e0	0
input	indep_orig.bond_feats	cumulative	5041	5041	100.000000	0.000000e0	0
input	indep_orig.same_chain	cumulative	5041	5041	100.000000	0.000000e0	0
input	indep_orig.chirals	cumulative	240	240	100.000000	0.000000e0	0
input	indep_orig.xyz	cumulative	7668	7668	100.000000	0.000000e0	0
input	is_diffused	cumulative	71	71	100.000000	0.000000e0	0
features	rfi.msa_latent	cumulative	11644	11644	100.000000	0.000000e0	0
features	rfi.msa_full	cumulative	5893	5893	100.000000	0.000000e0	0
features	rfi.sctors	cumulative	2840	2840	100.000000	0.000000e0	0
features	rfi.dist_matrix	cumulative	5041	5041	100.000000	0.000000e0	0
features	rfi.chirals	cumulative	240	240	100.000000	0.000000e0	0
features	rfi.t1d	cumulative	16188	16188	100.000000	0.000000e0	0
features	rfi.t2d	cumulative	685576	685576	100.000000	0.000000e0	0
features	rfi.xyz_t	cumulative	426	426	100.000000	0.000000e0	0
features	rfi.alpha_t	cumulative	8520	8520	100.000000	0.000000e0	0
features	rfi.xyz	cumulative	7668	7668	100.000000	0.000000e0	0
features	rfi.seq	cumulative	71	71	100.000000	0.000000e0	0
features	rfi.seq_unmasked	cumulative	71	71	100.000000	0.000000e0	0
features	rfi.bond_feats	cumulative	5041	5041	100.000000	0.000000e0	0
embed	latent_emb.msa	standalone	18176	18176	100.000000	0.000000e0	0
embed	latent_emb.pair	standalone	967872	967872	100.000000	0.000000e0	0
embed	latent_emb.state	standalone	4544	4544	100.000000	0.000000e0	0
embed	full_emb	standalone	4544	4544	100.000000	0.000000e0	0
embed	bond_emb	standalone	967872	967872	100.000000	0.000000e0	0
embed	recycle.msa	standalone	18176	18176	100.000000	0.000000e0	0
embed	recycle.pair	standalone	967872	967872	100.000000	0.000000e0	0
embed	recycle.state	standalone	4544	4544	100.000000	0.000000e0	0
embed	templ_emb.pair	standalone	967872	967872	100.000000	0.000000e0	0
embed	templ_emb.state	standalone	4544	4544	100.000000	0.000000e0	0
trunk	pos	standalone	322624	322624	100.000000	0.000000e0	0
trunk	extra_block.0.msa2msa	cumulative	4544	4544	100.000000	0.000000e0	0
trunk	extra_block.0.msa2pair	cumulative	967872	967872	100.000000	0.000000e0	0
trunk	extra_block.0.pair2pair	cumulative	967872	967872	100.000000	0.000000e0	0
trunk	extra_block.0.str2str.xyz	cumulative	639	639	100.000000	0.000000e0	0
trunk	extra_block.0.str2str.state	cumulative	4544	4544	100.000000	0.000000e0	0
trunk	extra_block.0.str2str.alpha	cumulative	2840	2840	100.000000	0.000000e0	0
trunk	extra_block.0.str2str.quat	cumulative	284	284	100.000000	0.000000e0	0
trunk	extra_block.1.msa2msa	cumulative	4544	4544	100.000000	0.000000e0	0
trunk	extra_block.1.msa2pair	cumulative	967872	967872	100.000000	0.000000e0	0
trunk	extra_block.1.pair2pair	cumulative	967872	967872	100.000000	0.000000e0	0
trunk	extra_block.1.str2str.xyz	cumulative	639	639	100.000000	0.000000e0	0
trunk	extra_block.1.str2str.state	cumulative	4544	4544	100.000000	0.000000e0	0
trunk	extra_block.1.str2str.alpha	cumulative	2840	2840	100.000000	0.000000e0	0
trunk	extra_block.1.str2str.quat	cumulative	284	284	100.000000	0.000000e0	0
trunk	extra_block.2.msa2msa	cumulative	4544	4544	100.000000	0.000000e0	0
trunk	extra_block.2.msa2pair	cumulative	967872	967872	100.000000	0.000000e0	0
trunk	extra_block.2.pair2pair	cumulative	967872	967872	100.000000	0.000000e0	0
trunk	extra_block.2.str2str.xyz	cumulative	639	639	100.000000	0.000000e0	0
trunk	extra_block.2.str2str.state	cumulative	4544	4544	100.000000	0.000000e0	0
trunk	extra_block.2.str2str.alpha	cumulative	2840	2840	100.000000	0.000000e0	0
trunk	extra_block.2.str2str.quat	cumulative	284	284	100.000000	0.000000e0	0
trunk	extra_block.3.msa2msa	cumulative	4544	4544	100.000000	0.000000e0	0
trunk	extra_block.3.msa2pair	cumulative	967872	967872	100.000000	0.000000e0	0
trunk	extra_block.3.pair2pair	cumulative	967872	967872	100.000000	0.000000e0	0
trunk	extra_block.3.str2str.xyz	cumulative	639	639	100.000000	0.000000e0	0
trunk	extra_block.3.str2str.state	cumulative	4544	4544	100.000000	0.000000e0	0
trunk	extra_block.3.str2str.alpha	cumulative	2840	2840	100.000000	0.000000e0	0
trunk	extra_block.3.str2str.quat	cumulative	284	284	100.000000	0.000000e0	0
trunk	main_block.0.msa2msa	cumulative	18176	18176	100.000000	0.000000e0	0
trunk	main_block.0.msa2pair	cumulative	967872	967872	100.000000	0.000000e0	0
trunk	main_block.0.pair2pair	cumulative	967872	967872	100.000000	0.000000e0	0
trunk	main_block.0.str2str.xyz	cumulative	639	639	100.000000	0.000000e0	0
