name,L,torch_time,torch_rss_gb,rust_time,rust_rss_gb,torch_plddt,rust_plddt,torch_ptm,rust_ptm,rmsd,max_dev,natoms
crambin,46,137.8,15.10,133.4,8.32,0.4234,0.4234,0.1741,0.1741,0.00007,0.00017,326
flgM,97,189.4,15.06,415.8,8.41,0.5414,0.5414,0.2564,0.2564,0.00015,0.00030,735
thioredoxin,109,209.6,15.07,516.1,8.44,0.8148,0.8148,0.8981,0.8981,0.00003,0.00006,829
cytochrome_c,105,202.9,15.10,478.8,8.43,0.7778,0.7778,0.8128,0.8128,0.00014,0.00029,830
sumo1,101,195.3,15.08,446.6,8.41,0.6440,0.6437,0.6761,0.6757,0.14381,2.29883,808
histone_h4,103,196.9,15.07,461.6,8.41,0.6221,0.6221,0.5654,0.5654,0.00010,0.00068,799
acylphosphatase,99,212.0,15.08,426.9,8.41,0.8112,0.8112,0.8753,0.8753,0.00004,0.00008,781
b2_microglobulin,119,246.7,15.09,606.4,8.48,0.7627,0.7627,0.7660,0.7660,0.00005,0.00010,966
bpti,100,191.5,15.07,439.5,8.41,0.6109,0.6109,0.5426,0.5426,0.00233,0.01840,757
insulin,110,209.6,15.12,521.7,8.44,0.5053,0.5053,0.3648,0.3648,0.00225,0.01415,838
cold_shock,69,146.6,15.09,233.5,8.34,0.7522,0.7522,0.7852,0.7852,0.00008,0.00135,523
fkbp12,108,206.1,15.08,508.6,8.44,0.8183,0.8183,0.8896,0.8896,0.00005,0.00010,839
ubiquitin,76,155.6,15.08,273.0,8.35,0.7735,0.7735,0.8288,0.8288,0.00002,0.00018,601
gb1,56,130.2,15.10,167.1,8.32,0.7568,0.7568,0.7531,0.7531,0.00002,0.00004,435
lysozyme_mature,129,249.0,15.07,711.8,8.53,0.8359,0.8359,0.9072,0.9072,0.00005,0.00015,1000
