protein,L,rust_vs_fp32_rmsd_A,rust_vs_fp32_max_A,bf16_vs_fp32_rmsd_A,bf16_vs_fp32_max_A
crambin46,46,5.5e-05,0.0002,1.63641,7.8616
ubiquitin76,76,4.1e-05,0.0002,1.32638,10.6271
flgM97,97,0.000247,0.0005,15.49033,32.2277
acylphosphatase99,99,3.8e-05,0.0003,1.43888,10.7569
bpti100,100,5.3e-05,0.0002,8.63991,22.6013
sumo1_101,101,0.000139,0.0005,6.2175,19.2172
histone_h4_103,103,0.000109,0.0003,7.38128,17.932
cytochrome_c_105,105,4.1e-05,0.0002,1.12515,5.1863
thioredoxin109,109,3.8e-05,0.0002,1.43637,11.2523
b2_microglobulin119,119,4.4e-05,0.0004,2.68454,11.7471
