tag,pdb,model,temp,seed,n_seq,chains,L,native_match,identical,total,mismatched_residues,max_score_absdiff
6EKB_model_v_48_002,6EKB,v_48_002,0.1,37,4,all,62,1,4,4,0,0.0
6EKB_model_v_48_010,6EKB,v_48_010,0.1,37,4,all,62,1,4,4,0,0.0
6EKB_model_v_48_020,6EKB,v_48_020,0.1,37,4,all,62,1,4,4,0,0.0
6EKB_model_v_48_030,6EKB,v_48_030,0.1,37,4,all,62,1,4,4,0,0.0
6EKB_temp_0.05,6EKB,v_48_020,0.05,37,4,all,62,1,4,4,0,0.0
6EKB_temp_0.2,6EKB,v_48_020,0.2,37,4,all,62,1,4,4,0,0.0
6EKB_temp_0.3,6EKB,v_48_020,0.3,37,4,all,62,1,4,4,0,0.0
6EKB_temp_0.5,6EKB,v_48_020,0.5,37,4,all,62,1,4,4,0,0.0
6EKB_temp_1.0,6EKB,v_48_020,1.0,37,4,all,62,1,4,4,0,0.0
6EKB_seed_1,6EKB,v_48_020,0.1,1,4,all,62,1,4,4,0,0.0
6EKB_seed_12345,6EKB,v_48_020,0.1,12345,4,all,62,1,4,4,0,0.0
6EKB_seed_999999,6EKB,v_48_020,0.1,999999,4,all,62,1,4,4,0,0.0
6EKB_many_seqs,6EKB,v_48_020,0.2,7,16,all,62,1,16,16,0,0.0
7NL3_model_v_48_002,7NL3,v_48_002,0.1,37,4,all,249,1,4,4,0,0.0
7NL3_model_v_48_010,7NL3,v_48_010,0.1,37,4,all,249,1,4,4,0,0.0
7NL3_model_v_48_020,7NL3,v_48_020,0.1,37,4,all,249,1,4,4,0,0.0
7NL3_model_v_48_030,7NL3,v_48_030,0.1,37,4,all,249,1,4,4,0,0.0
7NL3_temp_0.05,7NL3,v_48_020,0.05,37,4,all,249,1,4,4,0,0.0
7NL3_temp_0.2,7NL3,v_48_020,0.2,37,4,all,249,1,4,4,0,0.0
7NL3_temp_0.3,7NL3,v_48_020,0.3,37,4,all,249,1,4,4,0,0.0
7NL3_temp_0.5,7NL3,v_48_020,0.5,37,4,all,249,1,4,4,0,0.0
7NL3_temp_1.0,7NL3,v_48_020,1.0,37,4,all,249,1,4,4,0,0.0
7NL3_seed_1,7NL3,v_48_020,0.1,1,4,all,249,1,4,4,0,0.0
7NL3_seed_12345,7NL3,v_48_020,0.1,12345,4,all,249,1,4,4,0,0.0
7NL3_seed_999999,7NL3,v_48_020,0.1,999999,4,all,249,1,4,4,0,0.0
7NL3_many_seqs,7NL3,v_48_020,0.2,7,16,all,249,1,16,16,0,0.0
complex_3HTN_all,3HTN,v_48_020,0.1,37,4,all,431,1,4,4,0,0.0
complex_4YOW_all,4YOW,v_48_020,0.2,5,4,all,698,1,4,4,0,0.0
homooligomer_4GYT,4GYT,v_48_020,0.1,37,2,all,355,1,2,2,0,0.0
complex_3HTN_chainA,3HTN,v_48_020,0.1,37,4,A,143,1,4,4,0,0.0
complex_3HTN_chainsAB,3HTN,v_48_020,0.1,37,4,A B,287,1,4,4,0,0.0
complex_4YOW_chainB,4YOW,v_48_020,0.1,11,4,B,4,1,4,4,0,0.0
