name,L,torch_rss_mb,rust_rss_mb
1UXO,184,643.8,103.1
1WV3,181,660.4,103.4
1YB3,163,702.8,93.9
2HLV,149,636.8,86.0
3CM0,184,654.7,102.1
3DQ5,230,675.5,125.2
3JZ9,195,663.8,108.4
4AVE,111,629.1,67.3
4BCT,215,645.0,110.3
4KHV,135,635.0,79.4
4O8H,170,610.0,92.8
5LOZ,144,642.2,88.4
5O6Q,137,631.2,76.4
6EKB,62,615.3,45.0
6F9Y,130,649.2,75.7
6PBQ,154,637.6,87.3
7L6J,217,629.5,115.9
7NL3,233,719.2,132.7
7XND,169,628.0,102.2
7Z0D,314,659.3,123.8
