name,L,n_seq,temp,seed,torch_time,torch_time_mt,rust_time,torch_native_score,rust_native_score,native_score_absdiff,seqs_identical,mean_seq_identity,min_seq_identity,max_score_absdiff,mean_score_absdiff,mean_recovery,torch_ms_per_seq,torch_mt_ms_per_seq,rust_ms_per_seq
1UXO,186,8,0.1,37,28.421,19.789,17.955,1.4091,1.4091,0.0,8,1.0,1.0,0.0,0.0,0.5,3552.6,2473.6,2244.3
1WV3,186,8,0.1,37,28.508,18.891,17.692,1.5744,1.5744,0.0,8,1.0,1.0,0.0,0.0,0.4381720430107527,3563.5,2361.4,2211.5
1YB3,166,8,0.1,37,25.332,16.858,15.885,1.4369,1.4369,0.0,8,1.0,1.0,0.0,0.0,0.5150602409638554,3166.5,2107.3,1985.6
2HLV,149,8,0.1,37,22.863,15.057,14.065,1.6127,1.6127,0.0,8,1.0,1.0,0.0,0.0,0.4412751677852349,2857.9,1882.1,1758.2
3CM0,184,8,0.1,37,27.864,18.263,17.671,1.241,1.241,0.0,8,1.0,1.0,0.0,0.0,0.5149456521739131,3482.9,2282.8,2208.9
3DQ5,233,8,0.1,37,34.401,22.266,21.856,0.9424,0.9424,0.0,8,1.0,1.0,0.0,0.0,0.7178111587982832,4300.1,2783.2,2731.9
3JZ9,197,8,0.1,37,29.315,19.251,18.457,1.6641,1.6641,0.0,8,1.0,1.0,0.0,0.0,0.3965736040609137,3664.4,2406.4,2307.1
4AVE,110,8,0.1,37,17.524,11.793,10.446,1.5801,1.5801,0.0,8,1.0,1.0,0.0,0.0,0.45909090909090905,2190.6,1474.1,1305.8
4BCT,201,8,0.1,37,29.872,19.885,19.237,1.3344,1.3344,0.0,8,1.0,1.0,0.0,0.0,0.5671641791044777,3734.1,2485.6,2404.6
4KHV,135,8,0.1,37,21.5,14.019,12.545,1.4462,1.4462,0.0,8,1.0,1.0,0.0,0.0,0.4944444444444444,2687.5,1752.4,1568.1
4O8H,164,8,0.1,37,25.254,16.542,15.824,1.161,1.161,0.0,8,1.0,1.0,0.0,0.0,0.6036585365853658,3156.8,2067.8,1978.1
5LOZ,154,8,0.1,37,22.331,15.179,13.899,1.7189,1.7189,0.0,8,1.0,1.0,0.0,0.0,0.49431818181818177,2791.4,1897.4,1737.4
5O6Q,129,8,0.1,37,19.935,13.635,12.21,1.2837,1.2837,0.0,8,1.0,1.0,0.0,0.0,0.5348837209302326,2491.9,1704.3,1526.2
6EKB,62,8,0.1,37,11.206,7.953,5.838,1.8975,1.8975,0.0,8,1.0,1.0,9.999999999998899e-05,1.2499999999998623e-05,0.4032258064516129,1400.7,994.1,729.8
6F9Y,127,8,0.1,37,20.442,14.234,12.584,1.2449,1.2449,0.0,8,1.0,1.0,0.0,0.0,0.563976377952756,2555.2,1779.2,1573.0
6PBQ,152,8,0.1,37,23.565,15.757,14.352,1.5093,1.5093,0.0,8,1.0,1.0,9.999999999998899e-05,1.2499999999998623e-05,0.49917763157894735,2945.6,1969.7,1794.0
7L6J,213,8,0.1,37,32.123,21.44,20.372,1.3129,1.3129,0.0,8,1.0,1.0,0.0,0.0,0.5293427230046948,4015.4,2680.0,2546.5
7NL3,249,8,0.1,37,37.143,24.341,22.818,1.6054,1.6054,0.0,8,1.0,1.0,0.0,0.0,0.5200803212851405,4642.9,3042.6,2852.3
7XND,184,8,0.1,37,27.376,17.925,16.729,1.6065,1.6065,0.0,8,1.0,1.0,0.0,0.0,0.4680706521739131,3422.1,2240.6,2091.1
7Z0D,230,8,0.1,37,35.541,25.007,23.887,1.6031,1.6031,0.0,8,1.0,1.0,0.0,0.0,0.47282608695652173,4442.6,3125.8,2985.9
