protein,L,variant,fold_s,peak_rss_mb,plddt_mean,ptm,complex_plddt
crambin46,46,pt_fp32,17.39,26196.9,0.62652,0.44746,0.6187
crambin46,46,rust_fp32,93.76,25274.8,0.62652,0.44746,0.6187
crambin46,46,pt_bf16,31.1,17059.3,0.63273,0.45656,0.62448
ubiquitin76,76,pt_fp32,57.49,26449.5,0.80253,0.74237,0.80119
ubiquitin76,76,rust_fp32,188.78,25511.3,0.80253,0.74237,0.80119
ubiquitin76,76,pt_bf16,121.54,17057.0,0.78994,0.72276,0.7882
flgM97,97,pt_fp32,69.57,26975.5,0.76232,0.26452,0.75961
flgM97,97,rust_fp32,269.46,25750.3,0.76232,0.26452,0.75962
flgM97,97,pt_bf16,97.85,17060.2,0.64471,0.24974,0.64462
acylphosphatase99,99,pt_fp32,61.9,26789.9,0.81548,0.77739,0.81302
acylphosphatase99,99,rust_fp32,265.46,25786.2,0.81548,0.77739,0.81302
acylphosphatase99,99,pt_bf16,112.44,17060.1,0.77433,0.72849,0.77129
bpti100,100,pt_fp32,58.52,26973.8,0.72365,0.54565,0.72667
bpti100,100,rust_fp32,264.33,25795.6,0.72365,0.54565,0.72667
bpti100,100,pt_bf16,101.83,17059.0,0.71029,0.53155,0.71298
sumo1_101,101,pt_fp32,69.53,26868.7,0.6946,0.62141,0.69908
sumo1_101,101,rust_fp32,277.22,25787.4,0.6946,0.62141,0.69908
sumo1_101,101,pt_bf16,103.58,17057.7,0.68249,0.61185,0.68738
histone_h4_103,103,pt_fp32,70.44,26958.4,0.61057,0.45371,0.61031
histone_h4_103,103,rust_fp32,294.91,25811.8,0.61057,0.45371,0.61031
histone_h4_103,103,pt_bf16,107.24,17054.2,0.62159,0.43521,0.62066
cytochrome_c_105,105,pt_fp32,65.83,26981.6,0.66031,0.61327,0.65874
cytochrome_c_105,105,rust_fp32,297.7,25795.3,0.66031,0.61327,0.65874
cytochrome_c_105,105,pt_bf16,111.28,17059.7,0.65294,0.6048,0.65147
thioredoxin109,109,pt_fp32,73.02,26962.4,0.762,0.76127,0.75872
thioredoxin109,109,rust_fp32,313.29,25842.2,0.76201,0.76128,0.75872
thioredoxin109,109,pt_bf16,134.68,17053.8,0.76082,0.75754,0.75759
b2_microglobulin119,119,pt_fp32,94.1,27230.4,0.81005,0.73608,0.81102
b2_microglobulin119,119,rust_fp32,370.77,25933.3,0.81005,0.73608,0.81102
b2_microglobulin119,119,pt_bf16,145.48,17060.1,0.79392,0.71853,0.79444
